"Item","Part Number","Description","Qty.","Remark"
"1","00000619","Bolt  GB/T 5783  M6 × 25","6",""
"2","00000621","Spring Washer  GB/T 93  6","13",""
"3","00002583","Flat Washer  GB/T 96.1  6","19",""
"4","00001026","Bolt  GB/T 5782  M8 × 80","2",""
"5","00000608","Flat Washer  GB/T 97.1  8","4",""
"6","50000872","Hinge 1","1",""
"7","00001163","Nut  GB/T 6182  M8","4",""
"8","00001033","Nut  GB/T 6182  M6","6",""
"9","50000845","Plate, Bracket","1",""
"10","00000683","Bolt  GB/T 5783  M10 × 30","8",""
"11","00000679","Spring Washer  GB/T 93  10","8",""
"12","00001028","Flat Washer  GB/T 96.1  10","8",""
"13","50000851","Wallboard, Left","1",""
"14","00000745","Bolt  GB/T 5783  M6 × 12","7",""
"15","50000996","Hinge 2","2",""
"16","50000870","Hinge 1","1",""
"17","50000847","Plate, Bracket","1",""
"18","00002002","Screw  GB/T 70  M4 × 10","2",""
"19","00002068","Clamp","2",""
"20","50000849","Wallboard, Left","1",""
"21","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"22","00002000","Flat Washer  GB/T 96.1  8","6",""
"23","50000850","Plate, Link","1",""
"24","00000609","Spring Washer  GB/T 93  8","4",""
