"Item","Part Number","Description","Qty.","Remark"
"1","09140044","Decal, Platform control panel","1",""
"2","09140045","Decal, Platform control panel","1",""
"3","09140046","Decal, Platform control panel","1",""
"4","09140040","Decal, Platform control panel","1",""
"5","09140041","Decal, Platform control panel","1",""
"6","09140042","Decal, Platform control panel","1",""
"7","09440145","Decal, Symbols-General safety rules","1",""
"8","09440146","Decal, Label-Capacity 230kg","1",""
"9","09440212","Decal, Warning-Crushing hazard","3",""
"10","09340070","Decal, Symbols-Non operating hand 
position","4",""
"11","09340041","Decal, Label-Lanyard anchorage point","4",""
"12","09340026","Decal, Symbols-Refer the operator to the 
instructions for use","2",""
"13","09340029","Decal, Instructions-Open/close","1",""
"14","09930007","Decal, Label-BA20ERT","1","BA20ERT"
"","09930011","Decal, Label-BA22ERT","1","BA22ERT"
"15","09310366","Decal, Instructions-Tie down point","4",""
"16","09320014","Decal, Instructions-Lift point","4",""
"17","09310271","Decal, Instructions-Maximum wheel load 
4750kg","4",""
"18","09410048","Decal, Symbols-Explosion/burn hazard","2",""
"19","09310138","Decal, Symbols-Battery charging 
instructions","1",""
"20","09410079","Decal, Symbols-Electrocution hazard","2",""
"21","09910015","Decal, Label-BA20ERT","2","BA20ERT"
"","09910055","Decal, Label-BA22ERT","2","BA22ERT"
"22","09920008","Decal, Label-BA20ERT","1","BA20ERT"
"","09920010","Decal, Label-BA22ERT","1","BA22ERT"
"23","09410050","Decal, Symbols-Injection hazard","1",""
"24","09410117","Decal, Symbols-Crushing hazard","2",""
