"Item","Part Number","Description","Qty.","Remark"
"1","00009591","Engine Harness","1",""
"2","00009598","Emergency Pump Negative Harness","1",""
"3","00009608","Engine Negative Harness","1",""
"4","00009609","Emergency Power Negative Harness","1",""
"5","00009607","Battery Negative Harness","1",""
"6","00009602","Start Motor Harness","1",""
"7","00005351","Emergency Power Positive Harness","1",""
"8","00009603","Alternator Harness","1",""
"9","00009604","Emergency Pump Contactor Harness","1",""
"10","00009601","Fuse Box Power Harness","1",""
"11","00009599","Battery Positive Harness","1",""
"12","00009605","Emergency Pump Positive Harness","1",""
"13","00009606","Fuse Box Power Harness 1","1",""
"14","00009589","Chassis Harness","1",""
"15","00009736","Ground Control Plane Harness","1",""
"16","00009597","Lower Boom Harness","1","BA16CRT"
"","00009738","Lower Boom Harness","1","BA18CRT"
"","00009733","Lower Boom Harness","1","BA20CRT"
"","00010267","Lower Boom Harness","1","BA22CRT"
"17","00008113","PVG-1939 CANBUS Resistance","1",""
"","00008114","PVG-1939 Harness","4",""
"","00008115","PVG-1939 Power Harness","1",""
"18","00009610","Main Boom Harness","1","BA16CRT"
"","00009739","Main Boom Harness","1","BA18CRT"
"","00009734","Main Boom Harness","1","BA20CRT"
"","00010268","Main Boom Harness","1","BA22CRT"
"19","00010265","Jib Harness","1",""
"20","00010707","Platform Harness","1",""
"21","00010706","Platform Control Box Harness","1",""
