"Item","Part Number","Description","Qty.","Remark"
"1","00012548","Screw","8",""
"2","00012547","Valve, Flow Divider/Combiners","1",""
"3","00011547","Lock-Washer","3",""
"4","00011548","Tie-Rod","3",""
"5","00011546","Nut","3",""
"6","00011518","Cover","1",""
"7","00011524","Orifice Φ2.0","1",""
"8","00011523","Nut","4",""
"9","00011538","Seal","4",""
"10","00012549","Coil","4",""
"11","00011506","Coil","1",""
"12","00011582","Cartridge, Solenoid Valve","1",""
"13","00011554","Nut","8",""
"14","00011557","Seal","8",""
"15","00011504","Coil","8",""
"16","00011491","Cartridge, Relief Valve","1",""
"17","00011507","Body","1",""
"18","00011520","Cuting Unit, Steefing and 
Extension/Retracion","1",""
"19","00011556","Seal","28",""
"20","00011555","Seal","8",""
"21","00011521","Work Unit, Steering","4",""
"22","00011519","Work Unit, Extension/Retraction","2",""
"23","00012546","Valve, Flow Divider/Combiners","1",""
