"Item","Part No.","Description","Qty."
"1","00003354","Nut","1"
"2","00003318","Coil","1"
"3","00003316","Solenoid valve spool (S8)","1"
"4","00003353","Nut","2"
"5","00003319","Coil","2"
"6","00003599","Solenoid valve spool (S10)","1"
"7","00003315","Solenoid valve spool (S9)","1"
"8","00003301","Solenoid valve spool (S5)","2"
"9","00003320","Coil","2"
"10","00003352","Nut","2"
"11","00003360","Orifice  M6×1_Φ0.8 (X1)","2"
"12","00002998","Plug  SAE4","9"
"13","00003310","Flow divider/combiner valve (N)","1"
"14","00000274","Orifice  M8×1_Φ0.75 (X4)","2"
"15","00003312","Flow divider/combiner valve (M)","1"
"16","00008585","Counterbalance valve spool (F)","1"
"17","00003592","Orifice  M8×1_Φ1.0 (X6)","1"
"18","00009360","Solenoid valve (E)","1"
"19","00003362","Screw  GB/T 70.1  M5×45","4"
"20","00003361","Plug  SAE6","8"
"21","00003309","Throttle valve (L)","1"
"22","00009497","Relief valve (R5)","1"
"23","00009581","Pressure reducing valve (J)","1"
"24","00003307","Flow divider/combiner valve (T)","1"
"25","00003589","Check valve (C4)","2"
"26","00003439","Orifice  M8×1_Φ1.2 (X3)","1"
"27","00001073","Plug  VSTI14×1.5ED","2"
"28","00003289","Valve body","1"
