"Item","Part No.","Description","Qty."
"1","00006146","8812-120125100A  Bearing","2"
"2","10009384","Washer  120","2"
"3","00006151","8812-12012560A  Bearing","4"
"4","10017854","Nut  M110","1"
"5","00000684","Bolt  GB/T 5783  M10×35","1"
"6","00000615","Washer  GB/T 97.1  10","2"
"7","10009578","Bracket","1"
"8","00000623","Nut  GB/T 6182  M10","1"
"9","00000620","Washer  GB/T 97.1  6","2"
"10","00000621","Washer  GB/T 93  6","2"
"11","00000619","Bolt  GB/T 5783  M6×25","2"
"12","10009274","Safety arm","1"
"13","00004483","Grease nipple  GB/T 1152  M10×1","2"
"14","00002555","Screw  GB/T 70.1  M8×25","4"
"15","10009264","Safety arm retainer","1"
"16","10009381","Pin  120","1"
