"Item","Part No.","Description","Qty."
"1","10006165","Beacon bracket","1"
"2","00000620","Washer  GB/T 97.1  6","16"
"3","00000621","Washer  GB/T 93  6","13"
"4","00000743","Bolt  GB/T 5783  M6×20","9"
"5","00004757","Beacon","1"
"6","00000774","Screw  GB/T 70.1  M6×20","7"
"7","00001033","Nut  GB/T 6182  M6","3"
"8","10005627","Hydraulic hose reel","1"
"9","00000875","Bolt  GB/T 5783  M8×20","4"
"10","00000609","Washer  GB/T 93  8","6"
"11","00000608","Washer  GB/T 97.1  8","6"
"12","00001315","Straight fitting","1"
"13","10006257","Counterweight","1"
"14","00005010","Handle","1"
"15","00005249","Allen wrench  GB/T 5356-4","1"
"16","00001825","Water-proof joint  M12","1"
"17","10021588","Handle bracket","1"
"18","00000818","Bolt  GB/T 5783  M6×16","8"
"19","00000876","Screw  GB/T 70.1  M6×16","2"
"20","00002583","Washer  GB/T 96.1  6","2"
"21","10021648","Motor controller bracket","1"
"22","00006263","Motor controller","1"
"23","00001986","Screw  GB/T 818  M6×16 - H","4"
"24","","Right accessory assembly (refer to 204.1)","1"
"25","00000678","Bolt  GB/T 5783  M10×25","2"
"26","00000679","Washer  GB/T 93  10","2"
"27","00001028","Washer  GB/T 96.1  10","2"
"28","","Hydraulic power unit assembly (refer to 205.1)","1"
"29","10005186","Clamp","1"
