"Item","Part Number","Description","Qty.","Remark"
"1","50000004","Lower Lifting Cylinder Assembly","1",""
"2","00003435","Cartridge, Valve (Counterbalance)","2",""
"3","00001709","O-Ring","2",""
"4","00001833","Fitting, 90°","4",""
"5","00001291","Fitting, Straight","2",""
"6","00003849","Body","1",""
"7","00001290","Fitting, Straight","2",""
"8","00001860","Bolt  GB/T 5782  M8 × 70","4",""
"9","00000609","Spring Washer  GB/T 93  8","4",""
"10","00000608","Flat Washer  GB/T 97.1  8","4",""
"11","50003344","Seal Kit 125/70","1",""
