"Item","Part Number","Description","Qty.","Remark"
"1","92048976","Shim","4",""
"2","00002089","Bolt  GB/T 5782  M8 × 50","2",""
"3","00002326","Alarm","1",""
"4","00006260","USB Port","1",""
"5","00000608","Flat Washer  GB/T 97.1  8","10",""
"6","00001163","Nut  GB/T 6182  M8","6",""
"7","92048954","Ground Control Box","1",""
"8","92048966","Hinge","1",""
"9","00002488","Bolt  GB/T 5783  M8 × 35","4",""
"10","","Ground Control Panel Assembly (Refer to 
7-3)","1",""
"11","00001018","Screw  GB/T 973  M6×14","4",""
"12","92000277","Shield, Plastic","1",""
"13","92000278","Plate","1",""
"14","00001001","Screw  GB/T 973  M4×8","3",""
"15","00006261","Bolt GB/T 5783 - M5 × 35","2",""
"16","00000688","Nut  GB/T 6170  M5","2",""
"17","92048979","Lock","2",""
"18","92048972","Hinge","1",""
