"Item","Part Number","Description","Qty.","Remark"
"1","09630116","Decal, Label-BA22CRT","1","BA22CRT"
"","09630084","Decal, Label-BA20CRT","1","BA20CRT"
"","09630085","Decal, Label-BA18CRT","1","BA18CRT"
"","09630086","Decal, Label-BA16CRT","1","BA16CRT"
"2","09310366","Decal, Instructions-Tie down point","4",""
"3","09320014","Decal, Instructions-Lift point","4",""
"4","09410117","Decal, Symbols-Crushing hazard","2",""
"5","09310207","Decal, Instructions-Maximum wheel load 
4520kg","4","BA22CRT"
"","09310140","Decal, Instructions-Maximum wheel load 
4030kg","4","BA20CRT"
"","09310199","Decal, Instructions-Maximum wheel load 
3830kg","4","BA16CRT"
"6","09310251","Decal, Instructions-Black arrow forward","1",""
"7","09310367","Decal, Notice-Check the hydraulic oil level","1",""
"8","09610102","Decal, Label-BA22CRT","1","BA22CRT"
"","09610076","Decal, Label-BA20CRT","1","BA20CRT"
"","09610077","Decal, Label-BA18CRT","1","BA18CRT"
"","09610078","Decal, Label-BA16CRT","1","BA16CRT"
"9","09910110","Decal, Label-Cosmetic","1",""
"10","09410151","Decal, Warning-Emergency system 
overriding","1",""
"11","09910085","Decal, Label-22m","2","BA22CRT(2WS)"
"","09910107","Decal, Label-20m","2","BA20CRT(2WS)"
"","09910108","Decal, Label-18m","2","BA18CRT(2WS)"
"","09910109","Decal, Label-16m","2","BA16CRT(2WS)"
"","09910143","Decal, Label-22m","2","BA22CRT(4WS)"
"","09910144","Decal, Label-20m","2","BA20CRT(4WS)"
"","09910145","Decal, Label-18m","2","BA18CRT(4WS)"
"","09910146","Decal, Label-16m","2","BA16CRT(4WS)"
"12","09310302","Decal, Instructions-Noise 104dB","1",""
