"Item","Part Number","Description","Qty.","Remark"
"1","90011240","Washer","6",""
"2","90011239","Rubber Ring","6",""
"3","90011145","Spacer","3",""
"4","00002527","Bolt  GB/T 5782  M12 × 80","3",""
"5","00000815","Spring Washer  GB/T 93  12","1",""
"6","00000814","Flat Washer  GB/T 97.1  12","5",""
"7","92047753","Radiator","1",""
"8","00001249","Nut  GB/T 6182  M12","2",""
"9","00001163","Nut  GB/T 6182  M8","4",""
"10","92048883","Hydraulic Motor (Refer to 1-14)","1",""
"11","00002488","Bolt  GB/T 5783  M8 × 35","4",""
