"Item","Code","Name","Qty","Note"
"18","00011016","PVBS, Directional Cartridge","2",""
"19","00011017","PVBS, Directional Cartridge","2",""
"20","00011012","PVM, Manual Unit","8",""
"--","00011036","Seal Kit","8",""
"21","00011013","PVSKS, Cartridge, Enable","1",""
"22","00010972","PVP, Inlet Unit","1",""
"--","00011034","Seal Kit","1",""
"23","00010981","PVB, Work Unit","1",""
"--","00011033","Seal Kit","1",""
"24","00011005","PVED, Electric Control Unit","1",""
"--","00011035","Seal Kit","1",""
"25","00010987","PVED, Electric Control Unit","1",""
"--","00011035","Seal Kit","1",""
