"Item","Part Number","Description","Qty.","Remark"
"1","00000830","Screw  GB/T 70.3  M6×16","8",""
"2","50011736","Cover","2",""
"3","50011737","Pin, Pivot","1","BA44RT 
BA36RT"
"","50011742","Pin, Pivot","1","BA41RT"
"4","50011082","Shim","2",""
"5","50011083","Shim","2",""
"6","","JIB Lifting Cylinder Assembly (Refer to 
5-9)","1",""
"7","93000015","Spring Washer Ф8.2","8",""
"8","00000875","Bolt  GB/T 5783  M8 × 20","8",""
"9","50011088","Housing","1","BA44RT 
BA36RT"
"","50011406","Housing","1","BA41RT"
"10","00002062","Screw  GB/T 70  M8 × 35","4",""
"11","50011001","Bracket","2","BA44RT 
BA36RT"
"","50011404","Bracket","2","BA41RT"
"12","93300021","Angle Sensor","2",""
"13","00001054","Screw  GB/T 70  M4 × 12","4",""
"14","00002604","Bolt  GB/T 5783  M8 × 40","1",""
"15","00000609","Spring Washer  GB/T 93  8","1",""
"16","00000608","Flat Washer  GB/T 97.1  8","1",""
"17","90001243","Spacer","1",""
"18","90001242","Clamp","2",""
"19","50011086","Housing","1","BA44RT 
BA36RT"
"","50011405","Housing","1","BA41RT"
"20","92049165","Support","1",""
"21","00006425","Screw  GB/T 70  M12 × 35","1",""
"22","00006426","Screw  GB/T 70  M6 × 80","2",""
