"Item","Part Number","Description","Qty.","Remark"
"1","92000071","Support","1",""
"2","00001052","Bolt  GB/T 5783  M10 × 50","2",""
"3","00000679","Spring Washer  GB/T 93  10","2",""
"4","00001028","Flat Washer  GB/T 96.1  10","2",""
"5","92048437","Valve Block (Refer to 3-31)","1",""
"6","92049154","Housing","1",""
"7","00002497","Screw  GB/T 70  M8 × 100","4",""
"8","00000875","Bolt  GB/T 5783  M8 × 20","4",""
"9","00000609","Spring Washer  GB/T 93  8","4",""
"10","00002000","Flat Washer  GB/T 96.1  8","4",""
"11","92101000","Housing","1",""
"12","00000818","Bolt  GB/T 5783  M6 × 16","4",""
"13","00000621","Spring Washer  GB/T 93  6","4",""
"14","00002583","Flat Washer  GB/T 96.1  6","4",""
