"Item","Part No.","Description","Qty."
"1","00001001","Screw  GB/T 973  M4×8","6"
"2","10001553","Cover","2"
"3","00003070","Nut  GB/T 889.2  M16×1.5","2"
"4","00003071","Washer  GB/T 96.1  16","2"
"5","10001996","Wheel","2"
"6","10001534","Support","2"
"7","00001157","3/8-24×1 1/4""  Screw  ANSI B18.3","8"
"8","00005181","Washer  ANSI B18.21.1  3/8","8"
"9","00005182","Washer  ANSI B18.22.1  narrow  3/8","8"
"10","00005263","Bolt  QC/T 340  M10×30","8"
"11","00002939","Key  GB/T 1096  8×7×50","2"
"12","00005131","Right drive motor assembly","1"
"--","00002944","Right motor","1"
"--","00003325","Brake","1"
"--","00005194","Reducer","1"
"13","00005192","Left drive motor assembly","1"
"--","00002943","Left motor","1"
"--","00003325","Brake","1"
"--","00005194","Reducer","1"
"14","00001060","Screw  GB/T 818  M6×12 - H","5"
"15","10001999","Plate (without outlet hole)","1"
"","10003965","Plate (with one outlet hole)","1"
