"Item","Part No.","Description","Qty."
"1","00000838","Screw  GB/T 70.3  M8×25","4"
"2","10000484","Spacer","2"
"3","00001769","Straight fitting","5"
"4","00000634","Cotter pin  GB/T 91  4×50","2"
"5","10000486","Wheel","2"
"6","00002576","Nut  GB/T 6183.1  M12","8"
"7","00002010","Brake (JCPT0808HD, JCPT1008HD, JCPT1012HD)","2"
"","00000534","Brake (JCPT1212HD, JCPT1412HD, JCPT1612HD, 
JCPT1614HD)","2"
"8","00002885","Bolt  GB/T 16674  M12×100","8"
"9","00000530","Brake release hand pump manifold","1"
"10","00001860","Bolt  GB/T 5782  M8×70","2"
"11","00002575","Nut  GB/T 6183.1  M8","2"
"12","10000033","Mounting bracket","1"
"13","00002572","Nut  GB/T 6183.1  M10","2"
"14","00000847","Screw  GB/T 70.3  M10×30","2"
"15","10000487","Ground strap","1"
"16","00002865","Bolt  QC/T 340  M6×14","1"
"17","10000679","Ladder (without circuit breaker bracket) (JCPT0808HD-CE, 
JCPT1008HD-CE, JCPT1012HD-CE, JCPT1008HD-ANSI, 
JCPT1012HD-ANSI)","1"
"","10000619","Ladder (without circuit breaker bracket) (JCPT1212HD-CE, 
JCPT1412HD-CE, JCPT1612HD-CE, JCPT1412HD-ANSI, 
JCPT1614HD-ANSI)","1"
"","10000681","Ladder (without circuit breaker bracket) 
(JCPT0808HD-ANSI)","1"
"","10000817","Ladder(without circuit breaker bracket)   
(JCPT1212HD-ANSI)","1"
"","10001805","Ladder (with circuit breaker bracket) (JCPT0808HD-CE, 
JCPT1008HD-CE, JCPT1012HD-CE)","1"
"","10001638","Ladder (with circuit breaker bracket) (JCPT1212HD-CE, 
JCPT1412HD-CE, JCPT1612HD-CE)","1"
"18","00001043","Washer  GB/T 97.1  14","4"
