"Item","Part No.","Description","Qty."
"1","09340026","Decal, Symbols-Refer the operator to the instructions for 
use","2"
"2","09440094","Decal, Symbols-Tip-over hazard, outrigger","1"
"3","09340028","Decal, Instructions-Directional arrows","1"
"4","09440090","Decal, Symbols-Tip-over hazard, tilt-alarm","1"
"5","09440091","Decal, Symbols-General safety rules","1"
"6","09440089","Decal, Label-Lanyard anchorage point","8"
"7","09440073","Decal, Label-Capacity 454kg (JCPT1218RT)","1"
"","09440074","Decal, Label-Capacity 363kg (JCPT1418RT)","1"
"8","09430009","Decal, Symbols-Keep away from moving parts","2"
"9","09430008","Decal, Symbols-Safety arm","2"
"10","09410043","Decal, Symbols-Collision hazard","4"
"11","09310118","Decal, Instructions-Maximum wheel load 1930kg 4246 lbs 
(JCPT1218RT)","4"
"","09310120","Decal, Instructions-Maximum wheel load 2210kg 4862 lbs 
(JCPT1418RT)","4"
"12","09310096","Decal, Symbols-Emergency lower","1"
"13","09310003","Decal, Instructions-Tie down point","4"
"14","09310002","Decal, Instructions-Lift point","4"
"15","09310122","Decal, Instructions-Maximum outrigger load 1930kg 4246 
lbs (JCPT1218RT)","4"
"","09310124","Decal, Instructions-Maximum outrigger load 2210kg 4862 
lbs (JCPT1418RT)","4"
"16","09410042","Decal, Symbols-Crushing hazard","4"
"17","09310001","Decal, Instructions-Forklift pockets","4"
"18","09410050","Decal, Symbols-Injection hazard","1"
"19","09410049","Decal, Symbols-Electrocution hazard","2"
"20","09310072","Decal, Instructions-Diesel","2"
"21","09540001","Decal, Label-CE","2"
"22","09910006","Decal, Label-Cosmetic","1"
"23","09440072","Decal, Symbols-Max. manual force 400N","2"
