"Item","Part No.","Description","Qty."
"23","00002046","Bolt  GB/T 5783  M12×35","4"
"24","50001561","Linker","1"
"25","00000679","Washer  GB/T 93  10","16"
"26","00002249","Screw  GB/T 70.1  M10×20","6"
"27","00002158","Flexible coupling","1"
"28","00000615","Washer  GB/T 97.1  10","10"
"29","00000683","Bolt  GB/T 5783  M10×30","8"
"30","00003193","Screw  GB/T 70.1  M14×40","2"
"31","00001776","Straight fitting","1"
"32","00001059","Screw  GB/T 70.1  M10×30","2"
"33","00003102","Gear pump","1"
"34","00001782","Straight fitting","1"
"35","00001536","O-ring  As568A 82.22×2.62","1"
"36","","Drive pump assembly (refer to 116.1)","1"
"37","50001575","Adapter","1"
"38","10001982","Engine bracket","1"
"39","10003876","Wire clip","1"
