"Item","Part No.","Description","Qty."
"1","10025815","Hose","1"
"2","50001583","Clamp","3"
"3","10025615","Hose","1"
"4","10025645","Air cleaner bracket (To SN JPR0024C00284)","1"
"4.B","10029706","Air cleaner bracket (Form SN JPR0024C00285)","1"
"5","00000608","Washer  GB/T 97.1  8","17"
"6","00000609","Washer  GB/T 93  8","11"
"7","00002604","Bolt  GB/T 5783  M8×40","2"
"8","00000743","Bolt  GB/T 5783  M6×20","4"
"9","00000621","Washer  GB/T 93  6","4"
"10","00000620","Washer  GB/T 97.1  6","8"
"11","00002247","Nut  GB/T 6170  M6","4"
"12","10025649","Muffler bracket","1"
"13","00000875","Bolt  GB/T 5783  M8×20","4"
"14","10025958","Muffler","1"
"15","00000995","Bolt  GB/T 5783  M8×30","6"
"16","00001163","Nut  GB/T 6182  M8","4"
"17","00000993","Bolt  GB/T 5783  M8×25","1"
"18","00002000","Washer  GB/T 96.1  8","2"
"19","00002488","Bolt  GB/T 5783  M8×35","2"
"20","10002800","Air cleaner","1"
"--","10002943","Filter element (outer)","1"
"--","10009453","Filter element (inner)","1"
