"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"21","1990202282","Хомут спирального червяка","2",""
"22","00773407100601130","Губка изоляции","1",""
"23","1000200483","Радиатор в сборе","1",""
"24","00773407140601040","Обратный водовод I","1",""
"25","00773407140601070","Штуцер II","1",""
"26","00773407140601050","Обратный водовод II","1",""
"27","1040200170","Гайка M12-8","4","GB/T889-1986"
"28","1040302821","Шайба 12","4","GB/T96.1-2002"
"29","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"30","00775807100601070","Изогнута пластинка III","1",""
"31","00773407100601140","Подкладка","6",""
"32","1040302490","Шайба 12","4","GB/T97.1-2002"
"33","00775807101001061","Выхлопная труба I","1",""
"34","00773407151001060","Герметизирующая прокладка","1",""
"35","00775807101001010","Шумотушитель","1",""
"36","00775807101001080","Выхлопная труба","1",""
"37","00775807101001070","Выхлопной хвост","1",""
"38","00775807101001130","Теплоизоляция I","1",""
"39","00775807101010000","Опорная планка","1",""
"40","1009900968","Пружинная муфта в сборе","1",""
