"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140101477","Прямоугольный композитный 
штуцер M18×1.5","8",""
"2","1140207362","Прямой соединитель","2",""
"3","1010601369","Подпиточный фильтр","1",""
"4","1040300061","Шайба 10","8","GB/T97.1-2002"
"5","1040300067","Шайба 10","4","GB/T93-1987"
"6","1040000116","Болт M10×20-8.8","4","GB/T5783-2016"
"7","1010601137","Фильтр высокого давления","1",""
"8","1140101820","Прямой соединитель","2",""
"9","1140101478","Прямоугольный композитный 
штуцер M22×1.5","9",""
"10","1040301515","Шайба 8","18","GB/T97.1-2002"
"11","1040301510","Шайба 8","18","GB/T93-1987"
"12","1040004519","Болт M8×25-8.8","18","GB/T5783-2000"
"13","1140108904","Соединитель M30-M30","7",""
"14","1140105928","Прямой соединитель","2",""
"15","1010400309","Радиатор","1",""
"16","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"17","1040300066","Шайба 8","4","GB/T97.1-2002"
"18","1040300063","Шайба 8","28","GB/T93-1987"
"19","1040000689","Болт M8×35-8.8","4","GB/T5782-2000"
"20","1140101462","Торцевой проходной соединитель 
G3/8/M18×1.5","15",""
