"No.","Material No.","Item and Spec","Qty","Remark"
"1","/","Fuse","1",""
"2","1020202207","Driver assembly","1",""
"3","00773206200234020","Connect the positive electrode of the 
battery to the group plate B+","1",""
"4","00773206200234010","Battery series circuit","1",""
"5","1020999057","Battery","1",""
"6","00773206200234060","Function pump insurance and 
function pump A1 connection","1",""
"7","00773206200234050","Connect the left driver P- and 
function pump D1","1",""
"8","1020999056","Battery","1",""
"9","00773206200234030","Connect the negative pole of the 
battery to the manual switch","1",""
"10","00773206200234040","Manual switch and group plate 
B-line","1",""
"11","1029900667","Main power switch","1",""
