"No.","Material No.","Item and Spec","Qty","Note"
"1","1040004517","Bolt M8×16-8.8","8","GB/T5783-2000"
"2","1040301515","Washer 8-200HV","12","GB/T97.1-2002"
"3","00773400310001200","Small cover","2",""
"4","1040004565","Bolt M10×30-8.8-DKL","2","GB/T5783-2016"
"5","1040302489","Washer 10-200HV","38","GB/T97.1-2002"
"6","1040002738","Bolt M6×12-A2-70","4","GB/T5783-2000"
"7","1040300771","Washer 6-200HV","11","GB/T97.1-2002"
"8","02564300300001031","Sensor protective cover","1",""
"9","02564400301000000","Lower leveling cylinder","1",""
"10","00771900301801051","Adjustable gasket","24",""
"11","02564300301400000","Main boom lifting cylinder","1",""
"12","1040103076","Screw M8×16-8.8","8","GB/T70.3-2008"
"13","00773700400001290","Snap-gauge","4",""
"14","02564400300001070","Pin III","1",""
"15","1040103038","Screw M5×10","4","GB/T70.1-2000"
"16","00773400200001020","Bearing","8",""
"17","1040103111","Screw M8×16-8.8","4","GB/T70.1-2000"
"18","1040102778","Screw M6×10-8.8","3","GB/T70.1-2000"
"19","02564300300001010","Platform select valve cover","1",""
"20","02564400300001080","Telescopic 
cylinder 
support 
plate","1",""
"21","00773500310001030","Telescopic cylinder pin","2",""
"22","1040002434","Bolt M10×25-8.8","20","GB/T5783-2016"
"23","00773400300001200","Stop pin","2",""
"24","00773500310001010","Cylinder pressing plate","2",""
"25","00773400200001010","Bearing","4",""
"26","02564300300600000","Telescopic cylinder","1",""
"27","00773400300001210","Bearing","2",""
"28","00773700302400001","Protective cover","1",""
"29","1040002433","Bolt M10×20-8.8","18","GB/T5783-2000"
"30","00773400312800000","Slider assembly","12",""
