"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия  Кол-","во","Примечание"
"1","1040302489","Шайба","","B","54","GB/T97.1-2002"
"2","1040300771","Шайба","","А","23","GB/T97.1-2002"
"5","1040301515","Шайба","","А","36","GB/T97.1-2002"
"22","1040004032","Болт","","А","9","JB/T5783-2000"
"23","1040007502","Болт","","А","7","JB/T5783-2000"
"28","1040002738","Болт","","А","8","JB/T5783-2000"
"29","1040002434","Болт","","А","20","JB/T5783-2016"
"30","00773400312600000","Узлы ползуна","","B","4",""
"31","00773400300001101","Регулировочная шайба (3 мм))","","А","4",""
"32","02564400300201163","Упорная труба буксирной цепи","","А","1",""
"33","00771400340001091","Капот датчика","","А","2",""
"34","1040004521","Болт","","А","2","JB/T5783-2000"
"35","02564400400001270","Упорная планка III","","А","2",""
"36","02564400300001040","Крышка хвоста стрелы I","","А","2",""
"37","02561500300201092","Кронштейн цепи","","А","2",""
"38","1040004599","Болт","","А","2","JB/T5782-2000"
"39","1040202855","Гайка","","А","2","GB/T889.1-2000"
"40","02564400400001260","Трубный зажим III","","А","2",""
"41","1040102778","Винт","","А","3","GB/T70.1-2000"
"42","1040004517","Болт","","А","12","JB/T5783-2000"
"43","00771900301801051","Регулировочная шайба","","А","24",""
"44","1040200503","Гайка","","А","7","GB/T889.1-2000"
"45","00773500310001062","Пластина для крепления 
ползуна","","А","2",""
"46","00773500310001052","Буксируемая цепь ползуна","","А","2",""
"47","1040004523","Болт","","А","7","JB/T5783-2000"
"48","00773400300001200","Стопорный штифт","","F","2",""
"49","00773500310001030","Штифт телескопического 
цилиндра","","B","2",""
"50","00773400310001200","Маленькая крышка","","А","1",""
"51","00773400300001210","Подшипник","","А","2",""
"52","00773700302400001","Защитный кожух","","А","1",""
"53","00773400312800000","Узлы ползуна","","B","12",""
"54","1040002433","Болт","","А","10","JB/T5783-2000"
"55","02564400301800001","Верхняя пылезащитная щетка","","C","1",""
"56","02564400301200001","Боковая щетка","","B","2",""
"57","00773400200001070","Стопорный штифт","","F","2",""
