"№ 
п/п","Код материалов","Наименование и 
спецификация","","","","","Версия","Кол-
во","Примечание"
"1","1040301016","Шайба","","","","","B","40","GB/T97.1-2002"
"3","1040101980","Винт","","","","","А","32","GB/T70.1-2000"
"7","1030801256","Шина","","","","","А","2","33×12D610-R-ZC"
"10","1040302489","Шайба","","","","","B","36","GB/T97.1-2002"
"13","1040202297","Гайка","","","","","А","36","GB/T6177.2-2000"
"63","02564402802001012","Держатель датчика угла","","","","","А","1",""
"64","1040004032","Болт","","","","","А","12","JB/T5783-2000"
"65","00773400200001070","Стопорный штифт","","","","","F","4",""
"66","1040004653","Болт","","","","","А","4","JB/T5783-2000"
"67","1040007054","Болт","","","","","B","1","JB/T5783-2016"
"68","1040101437","Винт","","","","","B","6","GB/T70.1-2000"
"69","02564402802000000","Установка датчика угла","","","","","D","1",""
"70","1040001631","Болт","","","","","А","4","JB/T5783-2000"
"71","02564402800001100","Трубопроводная коробка","","","","","B","1",""
"72","00773702803600000","Защитная пластина 
электродвигателя","","","","","C","2",""
"73","00773702800001520","Крышка","","","","","C","1",""
"74","00773702800001150","Штифт I","","","","","C","2",""
"75","02564402801200000","Гидроцилиндр рулевого 
управления","","","","","А","2",""
"76","00773702800001200","Нижняя износостойкая пластина 
поворотной цапфы","","","","","А","2",""
"77","00773702800001030","Верхняя износостойкая пластина 
поворотной цапфы","","","","","А","2",""
"78","00773700400001130","Подшипник","","","","","А","4",""
"79","00773702800001021","Штифт","","","","","B","1",""
"80","00773702800001020","Штифт","","","","","C","1",""
"81","00773702801200002","Поворотная цапфа    II","","","","","А","1",""
"82","00773702800800001","Поворотная цапфа    I","","","","","B","1",""
"83","00773402810001260","Подшипник","","","","","А","6",""
"84","00773702800001340","Шкворень VI","","","","","C","6",""
"85","00773402800001070","Подшипник","","","","","А","2",""
"86","00771600301001250","Стопорный штифт","","","","","C","6",""
"87","00773400400001250","Стопорный штифт","","","","","E","1",""
"88","00773402810001061","Шкворень I","","","","","А","1",""
"89","02564402802400000","Рулевая тяга I","","","","","B","1",""
"90","02564402800400000","Сварные изделия переднего 
моста","","","","","B","1",""
