"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"32","00773400130810002","Свариваемые изделия 
платформы","","А","1",""
"33","1999904986","Коробка для файлов","","А","1","ZJ1145029"
"34","00771100110232000","Защитный кожух","","B","1",""
"35","00773400100261060","Болт","","А","2",""
"36","1040302480","Шайба","","B","4","GB/T96.1-2002"
"37","1040303579","Шайба","","А","4","GB/T96.1-2002"
"38","1040002738","Болт","","А","4","JB/T5783-2000"
"39","1040200503","Гайка","","А","2","GB/T889.1-2000"
"40","1040202855","Гайка","","А","4","GB/T889.1-2000"
"41","00771100110230200","Упор II","","B","1",""
"42","1040301515","Шайба","","А","4","GB/T97.1-2002"
"43","1040103112","Винт","","А","4","GB/T70.1-2000"
"44","00771100110230400","Упор","","B","1",""
"45","1040300771","Шайба","","А","18","GB/T97.1-2002"
"46","1040201896","Гайка","","А","16","GB/T889.1-2015"
"47","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","","А","6","GB/T70.1-2000"
"48","00773400100230000","Вращающаяся дверь","","E","1",""
"49","1101000163","Пружинная петля","","А","2","D-10"
"50","1029904911","Пружинящая шайба","","А","12","GB93-304"
"51","1040300514","Шайба","","А","12","GB/T97.1-2002"
"52","1040004672","Болт","","А","12","JB/T5783-2000"
"53","00775600101801010","Личинка замка","","А","1",""
"54","00775600101801020","Пружина","","А","1",""
"55","1040200503","Гайка","","А","1","GB/T889.1-2000"
"56","1040004522","Болт","","А","1","JB/T5783-2000"
"57","1040301515","Шайба","","А","2","GB/T97.1-2002"
"58","00773600130201010","Отбойный упор","","B","1",""
"59","1040103173","Винт","","А","2","GB/T70.1-2000"
"60","1040300735","Шайба","","А","12","GB/T96.1-2002"
"61","00771100110240000","Сварная деталь задней 
пластины","","B","1",""
"62","00771100110201011","Упорная планка","","А","1",""
"63","1040102017","Винт","","А","8","GB/T70.1-2000"
