"№ 
п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1020201651","Дисплей","1",""
"2","1020520084","Рычажный переключатель","1","Вращение платформы"
"3","1020520084","Рычажный переключатель","1","Выравнивание 
платформы"
"4","1020520084","Рычажный переключатель","1","Подъем-опускание 
консоли"
"5","1020520084","Рычажный переключатель","1","Выдвижение-
втягивание стрелы"
"6","1020520084","Рычажный переключатель","1","Подъем-опускание 
стрелы"
"7","1020519658","Кнопка аварийной остановки","1","Аварийный 
выключатель"
"","1020509007","Кнопочная станция","1",""
"8","1020520084","Рычажный переключатель","1","Подъем-опускание 
башенной стрелы"
"9","1020520943","Переключатель с ключом","1",""
"10","1020520084","Рычажный переключатель","1","Вращение поворотной 
платформы"
"11","1020520084","Рычажный переключатель","1","Аварийное 
энергопитание и 
активация"
"12","1020304559","Реле","1","Реле осветительной 
лампы"
