"№ п/п","Код материалов","Наименование и 
спецификация","Кол-
во","Примечание"
"1","1040201904","Гайка M5-8","8","JB/T889.1"
"2","1040300514","Шайба 5-200HV","8","JB/T97.1"
"3","00773700700001070","Переходная планка","1",""
"4","00773700700001011","Труба прямоугольного сечения","1",""
"5","00773700700001100","Подкладка","1",""
"6","1040103076","Винт M10×16-8,8","4","JB/T70.3"
"7","00773700700001081","Механизм буксируемой цепи","1",""
"7A","1109900986","Соединитель  буксируемой  цепи 
I E4.421.12.1.1","1",""
"7B","1109900987","Соединитель  буксируемой  цепи 
II E4.421.12.1.2","1",""
"7C","1109900988","Внешняя боковая пластина цепи 
E4.42.01","35",""
"7D","1109900990","Внутренняя 
боковая 
пластина 
цепи E4.42.02.075.0","35",""
"7E","1109900991","Горизонтальная 
перегородка 
буксируемой цепи 385.12","70",""
"7F","1109900993","Вертикальная 
перегородка 
буксируемой цепи 42.1","35",""
"8","1040102751","Винт   M5×25-8.8","4","JB/T70.1"
"9","1040004519","Болт M8×25-8,8","4","JB/T5783"
