"№ 
п/п","Код материалов","Наименование и спецификация","Кол-
во","Примечание"
"1","1040002458","Болт M8×40-8,8","8","JB/T5783"
"2","0077360110020000
0","Сварка правого капота","1",""
"3","0077360110000102
0","Регулировочная шайба","4",""
"4","1040201089","Гайка M8-8","24","JB/T6170"
"5","1101000166","Петля ZJ14600Z","4",""
"6","1040302480","Шайба 8-200HV","52","JB/T96.1"
"7","1040004520","Болт M8×30-8,8","12","JB/T5783"
"8","1040301515","Шайба 8-200HV","8","JB/T97.1"
"9","1040301510","Шайба 8","28","JB/T93"
"10","1040004519","Болт M8×25-8,8","12","JB/T5783"
"11","1040200503","Гайка","12","JB/T889.1"
"12","1040100105","Винт M6×25-8.8","14","JB/T70.1"
"13","1040300771","Шайба GB/T97.1 -2002","14","6-200HV"
"14","1040004590","Болт M8×14-8,8","4","JB/T5783"
"15","0077360110080000
0","Держатель правого шарнира замка","1",""
"16","1040301502","Шайба 10","4","JB/T93"
"17","1040200113","Гайка M10-8","4","JB/T6170"
