"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","00773407140401130","Гибкий вал топливного дросселя","1",""
"2","1040102372","Винт 
с 
цилиндрической 
головкой 
и 
внутренней 
шестигранью","10","JB/T70.1"
"3","00773407140401140","Дроссельная тяга","1",""
"4","1040200304","Гайка","1","JB/T889"
"5","1040300771","Шайба","9","JB/T97.1"
"6","00773407140401120","Изогнута пластинка III","1",""
"7","1040004619","Болт","4","JB/T5783"
"8","1040301515","Шайба","6","JB/T97.1"
"9","00773407140401070","Гнутая пластина II","1",""
"10","1040004519","Болт","2","JB/T5783"
"11","1990202279","Хомут спирального червяка","18",""
"12","00773607100401060","Труба топлива  Ⅲ","1",""
"13","00773607100401120","Труба топлива  Ⅵ","1",""
"14","00773607100401080","Труба топлива  Ⅳ","1",""
"15","00773607100401070","Труба топлива  Ⅶ","1",""
"16","00773407140401090","Тройник","1",""
"17","00773607100401030","Труба топлива  Ⅱ","1",""
