"№ п/п","Код материалов","","Наименование и спецификация  Кол-во","Примечание"
"31","00773400130401040","Колодка I","8",""
"32","1054600077","Игольчатый подшипник","8",""
"33","02564400100401010","Шатун","2",""
"34","02564400100401020","Вал","4",""
"35","00773400130401090","Скоба вала","4",""
"36","1040004646","Болт M10×15-8.8","4","GB/T5783"
"37","1080000005","Масленка M6×1","8",""
"38","1040201111","Гайка M24-10","1","GB/T889"
"39","1040301511","Шайба 24-200HV","1","GB/T97.1"
"40","00773400100401030","Регулировочная шайба","2",""
"41","00773400130410000","Переходный держатель","1",""
"42","1040006524","Болт M10×25-10,9","8",""
"43","1040004505","Болт M24×280-10,9","1","GB/T5782"
"44","1040102372","Винт  с  цилиндрической  головкой 
и внутренней шестигранью 
 
M6×20-A2-70","4","GB/T70.1"
"45","1999904986","Документальная коробка 
355×280×55","1",""
"46","00773400130600000","Сварной 
элемент 
кронштейна 
гидравлического клапана","1",""
"47","1022397102","Открытая гофрированная труба","1",""
"48","/","Электрический  шкаф  управления 
платформой","1",""
"49","/","Датчик веса","1",""
