"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-в
о 
штук","Примечание"
"1","1010601202","Обратный масляный 
фильтр","1",""
"2","1040301502","Шайба 10-200HV","2","GB/T93"
"3","1040101492","Винт M10×25-8.8","2","GB/T70.1"
"4","1140101464","Прямой соединитель","1",""
"5","1140101809","Прямой соединитель","1",""
"6","1140101489","Прямой соединитель","1",""
"7","1040103111","Винт M8×16-8.8","6","GB/T70.1"
"8","1040301510","Шайба 8-200HV","6","GB/T93"
"9","00773705200220030","Крышка люка","1",""
"10","00773705200220020","Уплотнительная 
прокладка","1",""
"11","00773705200220010","Корпус бака","1",""
"12","1140102940","Прямой соединитель","1",""
"13","1140107416","Загл-ка","2",""
"14","1040005852","Болт M12×20-8.8","4","GB/T5787"
"15","1019901470","Уровнемер с 
термометром","1",""
