"No.","Material No.","Spec and Item","Qty","Note"
"1","1040006017","Screw 
  M6×25-A2-70","4",""
"2","1040300771","Washer 6-200HV","16","GB/T97.1"
"3","1040201896","Nut M6-8","8","GB/T889.1"
"4","1040200503","Nut M8-8","6","GB/T889.1"
"5","1040302480","Washer 8-200HV","4","GB/T96.1"
"6","00773400100261050","Bearing","2",""
"7","00773400100261060","Bolt","2",""
"8","00771100110230200","Block II","1",""
"9","00771100110231000","Hood","1",""
"10","00771100110230400","Block","1",""
"11","1040005844","Bolt M6×10-A2-70","4","GB/T5783"
"12","00771100110240000","Backboard weldment","1",""
"13","1040200504","Nut M10-8","4","GB/T889.1"
"14","1040302512","Washer 10-200HV","8","GB/T96.1"
"15","00772700100001020","Rubber pad","2",""
"16","1040004508","Bolt M10×45-8.8","4","GB/T5783"
"17","02551500100210000","Platform weldment","1",""
"18","1040005852","Bolt M12×20-8.8","2","GB/T5787"
"19","00771400120420001","Tray weldment","1",""
"20","1040200669","Nut M12","8","GB/T13681"
"21","1040004556","Bolt M12×35-8.8","8","GB/T16674.1"
"22","1040201381","Nut M12-8","1","GB/T6170"
"23","1040006458","Strengthen cup head bolt 
   
M12×50-8.8 (Full thread)","1",""
"24","1040001703","Bolt M12×65-10.9","2","GB/T5782"
"25","1040302490","Washer 12-200HV","4","GB/T97.1"
"26","1040201163","Nut M12-10","2","GB/T889.1"
"27","00773400100401040","Cushion block","1",""
"28","1040301515","Washer 8-200HV","7","GB/T97.1"
"29","1040103112","Screw 
  M8×25-8.8","7","GB/T70.1"
"30","00773400130401060","Cushion block III","2",""
