"No.","Material No.","Item and Spec","Qty","Note"
"1","007737008602000","Turntable weldment","1",""
"2","1040004033 
01","Bolt M10×25-10.9","2","GB/T5783"
"3","1040004520","Bolt M8×30-8.8","4","GB/T5783"
"4","1040303580","Washer","16",""
"5","1040202855","Nut","4",""
"6","007737008606000","Electric 
control 
cabinet","1",""
"7","007737008604000
00","Electric 
control 
cabinet 
bracket II","1",""
"8","1040007536 
00","bracket I","2",""
"9","1040303581","Washer","15",""
"10","007737008000016","Spacer","4",""
"11","1040303579 
10","Washer","4",""
"12","1040002738","Bolt M6×12-A2-70","2","GB/T5783"
"13","007737008000011","Rotary limit support","1",""
"14","1040102040 
91","Screw M10×40-10.9","6","GB/T70.1"
"15","1040302489","Washer    10-200HV","6","GB/T97.1"
"16","007737008000012","Cushion pad","2",""
"17","007737008000010
10","Adjustable plate","6",""
"18","007737008000012
21","Mounting plate I","2",""
"19","1040004032 
91","Bolt","8",""
"20","007734008000011","Rotary limit pin","1",""
"21","1040100714 
81","Screw M12×130-8.8","1","GB/T70.1"
"22","007737008000016","Pipeline tray","2",""
"23","007736008000011
00","Connector mounting plate","1",""
"24","1040004518 
00","Bolt M8×20-8.8","4","GB/T5783"
"25","007737008000010","Pin Ⅱ","2",""
"26","025647028000010
40","Filter bracket","1",""
"27","1040003324 
10","Bolt M16×30-10.9-DKL","2","GB/T5783"
"28","1040004519","Bolt M8×25-8.8","2","GB/T5783"
"29","007734004000012","Stop pin","2",""
"30","1040002555 
50","Bolt M6×16-A2-70","2","GB/T5783"
"31","007737008000012","Mounting plate","1",""
"32","007737008600010
81","Axle I","1",""
"33","007737004000012
10","Snap gauge","4",""
"34","1040103558 
90","Screw M8×25-8.8","8","GB/T70.3"
"35","1040201089","Nut M8-8","2","GB/T6170"
