"Serial 
No.","Part No.","Name and Spec.","Qty.","Remark"
"1","00773706200450060","Manual  switch  and  disk  assembly  fuse 
connecting wire","1",""
"2","1029909496","Drive front axle assembly","1",""
"3","00773706200450110","Emergency 
battery 
negative 
terminal 
and  emergency  pump  relay  connecting 
wire","1",""
"4","00773706200450120","Rear 
axle 
disk 
assembly 
negative 
terminal  and  front  axle  disk  assembly 
negative terminal connecting wire","1",""
"5","1020999139","Battery","1",""
"6","00773706200450040","Battery positive and negative series wire 
4","1",""
"7","1020903393","On-board charger","1",""
"8","1029909497","Drive rear axle assembly","1",""
"9","00773706200450080","No.  5  drive  and  functional  pump  motor 
connecting wire","3",""
"10","1020999074","Battery","1",""
"11","00773706200450090","Emergency battery positive terminal and 
emergency switch connecting wire","1",""
"12","1020520996","Emergency switch","1",""
"13","1020202051","DC-DC converter","1",""
"14","00773706200450050","Battery  positive 
terminal  and  manual 
switch connecting wire","1",""
"15","1029900667","Main power switch","1",""
"16","1020604246","Fuse holder","1",""
"","1020604928","Fuse","1",""
"17","00773706200450130","Emergency  switch  and  fuse  connecting 
wire","1",""
"18","00773706200450100","Fuse 
and 
emergency 
pump 
relay 
connecting wire","1",""
"19","00773706200450110","Emergency 
battery 
negative 
terminal 
and  emergency  pump  relay  connecting 
wire","1",""
"20","1020005381","Motor","1",""
"21","1020999139","Battery","1",""
