"Serial  number","Material  Code","Name and specifications","Number  of  pieces","Remark"
"1","1140101483","specification  Tee  combination  joint","1",""
"2","1140101483","Three-way  combination  connector","1",""
"3","1149901685","Straight  end  connector","1",""
"4","1140101462","Straight  end  connector","1",""
"5","1010306616","Luffing  balancing  valve","1",""
"6","1019900975","Plug","1",""
"7","1149900295","tee  combination  joint","1","Explosion-proof  valve  solution  only"
"8","1140101475","Right  angle  combination  elbow","2","Explosion-proof  valve  solution  only"
"9","1040301510","Washer  8","4","GB/T93"
"10","1040102739","Screw  M8×60-8.8","4","GB/T70.1"
