"Serial  number","Material  Code","Name  and  specifications","Number  of  pieces","Remark"
"1","00773400200001020  Bearing","","2",""
"2","00773700200200000  Support","","1",""
"3","00773400200001010  Bearing","","10",""
"4","00773700200001060  Pin","","2",""
"5","1040002433","Bolt  M10×20-8.8","6","GB/T5783"
"6","00773400300001200  Stop  pin","","6",""
"7","1040004619","Bolt  M8×35-8.8","4","GB/T5783"
"8","1040301515","Washer  8-200HV","4","GB/T97.1"
"9","00773700200001082  Pipeline  guard  plate","","1",""
"10","1040103133","Screw  M6×30","8","GB/T70.3"
"11","00773700200001100  Pipeline  pressure  plate","","2",""
"12","00773700200001090  Pipeline  slot","","2",""
"13","00773700200400001  Upper  connecting  rod","","1",""
"14","00773700200001050  Pin  ÿ35","","2",""
"15","00773700200600000  Lower  connecting  rod","","2",""
"16","1010201471","Swing  Cylinder","1",""
"17","00773700200810000  Flying  arm  cylinder","","1",""
"18","00773700200001010  Bearing","","2",""
"19","00773700200001070  Pin","","1",""
"20","1040103076","Screw  M8×16-8.8","4","GB/T70.3"
"twenty  one","00773700400001290  Card  board","","2",""
