"序号","物料编码","名称及规格","件数","备注"
"1","1040201904","螺母  M5-8","8","GB/T889.1"
"2","1040300514","垫圈  5-200HV","8","GB/T97.1"
"3","00773700700001070  过渡板","","1",""
"4","00773700700001012  矩管","","1",""
"5","00773700700001100  垫板","","1",""
"6","1040103076","螺钉  M8×16-8.8","4","GB/T70.3"
"7","00773700700000002  拖链机构","","1",""
"7A","1109900986","拖链接头 I E4.421.12.1.1","1",""
"7B","1109900987","拖链接头 II E4.421.12.1.2","1",""
"7C","1109900988","拖链外侧板  E4.42.01","35",""
"7D","1109900990","拖链内侧板  E4.42.02.075.0","35",""
"7E","1109900991","拖链横杆  385.12","70",""
"7F","1109900993","拖链分隔片  42.1","35",""
"8","1040102751","螺钉  M5×25-8.8","4","GB/T70.1"
"9","1040004519","螺栓  M8×25-8.8","4","GB/T5783"
"10","1040301515","垫圈  8-200HV","10","GB/T97.1"
"11","1040302480","垫圈  8-200HV","4","GB/T96.1"
"12","1040200503","螺母  M8-8","11","GB/T889.1"
"13","00773700700400000  托架","","1",""
"14","00773400700001030  尼龙块","","1",""
"15","1040102737","螺钉  M8×30-8.8","3","GB/T70.1"
"16","00773400700001020  胶管座","","1",""
"17","00773400700001050  折弯安装板","","1",""
"18","1040004557","螺栓  M8×50-8.8","2","GB/T16674.1"
"19","1040005925","螺栓  M5×80","4","GB/T5782"
"20","00773700700001060  顶管","","4",""
"21","00773700700001091  拖链矩管管夹 II","","1",""
"22","00773700700001021  拖链矩管管夹 I","","1",""
"23","00773700700001030  弯板","","1",""
"24","1040004603","螺栓  M8×75-8.8","2","GB/T5782"
