"№ п/п","Код материалов","Наименование и спецификация  Кол-во","","Примечание"
"1","1020903397","Аккумулятор","1",""
"2","1020605356","Кольцевой предохранитель","2",""
"","0067220632181001A-c","Опора кольцевого 
предохранителя","2",""
"","1020402443","Изоляционная гайка","2",""
"3","00774006200234040","Соединительная линия между 
вспомогательным силовым 
насосом и предохранителем","1",""
"4","00774006200234050","Провод от положительного 
полюса аккумулятора к 
предохранителю подогрева","1",""
"5","1020005456","Контактор постоянного тока","1",""
"6","00774006200234020","Соединительный провод от 
отрицательного полюса 
аккумулятора к ручному 
переключателю","1",""
"7","1029900667","Ручной переключатель","1",""
"8","00774006200234030","Соединительный провод от 
ручного переключателя к 
металлизации","1",""
"9","00774006200234070","Соединительный провод между 
двигателем и металлизацией","1",""
"10","/","Болт металлизации","/",""
"11","00774006200234060","Пусковой мотор соединяется с 
генератором","1",""
"12","00774006200234010","Соединительный провод между 
аккумулятором и пусковым 
мотором","1",""
