"№ 
п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1020201651","Дисплей","1",""
"2","1020520084","Рычажный переключатель","1","Вращение платформы"
"3","1020520084","Рычажный переключатель","1","Выравнивание платформы"
"4","1020520084","Рычажный переключатель","1","Подъем-опускание консоли"
"5","1020520084","Рычажный переключатель","1","Выдвижение-втягивание стрелы"
"6","1020520084","Рычажный переключатель","1","Подъем-опускание стрелы"
"7","1020519658","Кнопка аварийной остановки","1","Аварийный выключатель"
"","1020509007","Кнопочная станция","1",""
"8","1020520084","Рычажный переключатель","1","Подъем-опускание башенной 
стрелы"
"9","1020520943","Переключатель с ключом","1",""
"10","1020520084","Рычажный переключатель","1","Вращение поворотной 
платформы"
"11","1020520084","Рычажный переключатель","1","Аварийное энергопитание и 
активация"
"12","1020304559","Реле","1","Реле осветительной лампы"
"13","1020604934","Соединительный зажим","11",""
"14","1020704265","Клеммная колодка заземления","3",""
"15","1020705826","Зажим диода","2",""
"16","1029904980","Соединительный зажим","9",""
"17","1029903317","48-жильный кабель в оболочке","1","Пучок кабеля поворотной 
платформы"
"18","1029902634","32-жильный кабель в оболочке","1","Пучок кабеля поворотной 
платформы"
"19","1029902634","32-жильный кабель в оболочке","1","Пучок кабеля стрелы"
"20","1020304584","Реле мощности","1","Источник питания системы"
"21","1020304584","Реле мощности","1","Пусковой мотор"
"22","1020304584","Реле мощности","1","Радиатор"
"23","1020103903","Контроллер","1","Топливный насос"
"24","1020202125","GPS","1",""
"25","1020103955","Узел соединителя","1",""
