"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","00771100301300000","Ползун","4",""
"2","00774000300001080  Правая контактная плата","","1",""
"3","1040302489","Шайба 10-200HV","44","JB/T97.1"
"4","1040004507","Болт M10×40-8.8","3","JB/T5783"
"5","1040002433","Болт M10×20-8.8","13","JB/T5783"
"6","00774000302600000","Узлы ползуна","8",""
"7","00773400300001140","Регулировочная шайба V","12",""
"8","00773400300001130","Регулировочная шайба IV","12",""
"9","1040004565","Болт M10×30-8,8-DKL","14","JB/T5783"
"10","1040002434","Болт M10×25-8.8","8","JB/T5784"
"11","00774000302400000","Узлы ползуна","4",""
"12","1040004518","Болт M8×20-8.8","4",""
"13","1040301515","Шайба 8-200HV","34","JB/T97.1"
"14","00774000300001050  Штифт телескопического цилиндра","","2",""
"15","00773400300001200","Стопорный штифт","2",""
"16","00773700300001180","Регулировочная шайба цилиндра II","2",""
"17","00773700300001170","Регулировочная шайба цилиндра I","4",""
"18","00774000302000000  Правая скоба","","1",""
"19","00774000302200000","Левая скоба","1",""
"20","00774000300400000","Стрела выдвижения-втягивания","1",""
"21","1040004511","Болт M12×30-8.8","1","JB/T5783"
"22","00773400200001070","Стопорный штифт","1",""
"23","00773700300001020  Шкворень II","","1",""
"24","00774000300001040","Штифт 
выравнивающего 
цилиндра 
на 
основной стреле","1",""
"25","1040103076","Винт    M8×16-8.8","4","JB/T70.3"
"26","00773700400001290","Скоба","2",""
"27","00773400300001210  Подшипник","","4",""
"28","00774000301000000","Верхний гидроцилиндр выравнивания","1",""
"29","00774000300001160","Опорный блок телескопического цилиндра","1",""
"30","1040002458","Болт M8×40-8.8","2","JB/T5783"
"31","00774000301200000","Гидроцилиндр выдвижения-втягивания","1",""
"32","1040004517","Болт M8×16-8.8","10","JB/T5783"
