"№
 п/п","Код материалов","Наименование и спецификация","Кол-во  Примечание",""
"1","1040201904","Гайка M5 -8","8","GB/T889.1-2015"
"2","1040300514","Шайба 5-200HV","8","GB/T97.1"
"3","00773700700001070  Переходная планка","","1",""
"4","00773700700001100  Подкладка","","1",""
"5","00773700700001060  Верхняя труба","","8",""
"6","1040103076","Винт M8×16-8.8","4","GB/T70.3-2008"
"7","1040005925","Болт M6×80","8","JB/T5782"
"8","00774000700201050  Механизм буксируемой цепи","","1",""
"8A","1109900986","Соединитель 
буксируемой 
цепи 
E4.421.12.1.1","I 
1",""
"8B","1109900987","Соединитель 
буксируемой 
цепи 
II 
E4.421.12.1.2","1",""
"8C","1109900988","Внешняя боковая пластина цепи E4.42.01","52",""
"8D","1109900989","Внутренняя 
боковая 
пластина 
цепи 
E4.42.02.075.0","52",""
"8E","1109900991","Горизонтальная 
перегородка 
буксируемой 
цепи 385.12","52",""
"8F","1109900993","Вертикальная 
перегородка 
буксируемой 
цепи 42.1","68",""
"9","1040004519","Болт M8×25-8,8","10","JB/T5783"
"10","1040301515","Шайба 8-200HV","22","GB/T97.1"
"11","00774000700220000  Кронштейн II","","2",""
"12","1040200503","Гайка M8-8","14","GB/T889.1"
"13","00774000700201090  Прокладка регулировки кронштейна","","2",""
"14","1040004675","Болт M8×85-8,8","2","JB/T5782"
"15","00773700700001030  Гнутая пластина","","1",""
"16","00773700700001020","Зажим  трубы  прямоугольного  сечения  для 
буксируемой цепи I","1",""
"17","00774000700201070  Трубный зажим I","","1",""
"18","00774000700001110  Вкладыш","","1",""
"19","00774000700201030  Труба прямоугольного сечения","","1",""
"20","1040004522","Болт M8×50-8,8","2","JB/T5783"
"21","00774000700201040  Зажимная планка трубопровода","","1",""
"22","00774000700201080  Трубный зажим II","","1",""
"23","00774000700201060  Подкладка","","1",""
