"№
 п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004518","Болт M8×20-8,8","12","JB/T5783"
"2","1040301515","Шайба 8-200HV","18","GB/T97.1"
"3","00774000400001620  Крышка","","1",""
"4","1040002446","Болт M16×40-8,8","3","JB/T5783"
"5","00773400400001250  Стопорный штифт","","3",""
"6","00774000400001670  Шкворень III","","1",""
"7","00774000402400000","Телескопическая 
часть 
башенной 
стрелы","1",""
"8","00774000400001350  Подшипник","","4",""
"9","00774000402800000  Шатун II","","1",""
"10","1040006314","Болт M16×50-10,9","1","JB/T5783"
"11","00773400400001170  Стопорный штифт","","1",""
"12","00774000400001690  Штифт V","","1",""
"13","00774000400001910  Подшипник","","2",""
"14","00774000400001690  Штифт V","","1",""
"15","00774000402600000  Шатун II","","1",""
"16","1040004520","Болт M8×30-8,8","3","JB/T5783"
"17","1040201089","Гайка M8-8","1","JB/T6170"
"18","00771100301620000  Ползун","","4",""
"19","00773400300001140  Регулировочная шайба V","","24",""
"20","1040302489","Шайба 10-200HV","50","GB/T97.1"
"21","1040004565","Болт M10×30-8,8-DKL","10","JB/T5783-2016"
"22","00774000400001370  Боковая регулировочная прокладка","","2",""
"23","00774000400001380  Боковая регулировочная прокладка","","4",""
"24","00774000404600000  Ползун","","2",""
"25","1040002433","Болт M10×20-8.8","8","JB/T5783"
"26","00771400301401080  Регулировочная шайба IV","","6",""
"27","00774000302600000  Узлы ползуна","","6",""
"28","00774000400001630  Скоба","","2",""
"29","1040000135","Болт M8×55-8,8","2","JB/T5783"
"30","00774000400001890  Зажимная планка трубопровода","","1",""
"31","00774000400001850  Трубный зажим","","1",""
"32","1040002435","Болт M10×35-8.8","12","JB/T5783"
"33","00771100301601060  Регулировочная шайба","","4",""
