"№ п/п","Код материалов","Наименование и спецификация","Кол-во  Примечание",""
"1","1040302512","Шайба 10-200HV","10","GB/T96.1"
"2","","00774000801400000  Монтажный кронштейн основного клапана","1",""
"3","1040004518","Болт M8×20-8.8","37","JB/T5783"
"4","1040302480","Шайба 8-200HV","55","GB/T96.1"
"5","00774000800001070","Монтажная пластина регулирующего 
клапана","1",""
"6","1040201382","Гайка M16-8","1","JB/T6170"
"7","1040004511","Болт M12×30-8.8","19","JB/T5783"
"8","1040302821","Шайба 12-200HV","27","GB/T96.1"
"9","00774000800001120  Переходная    плита I","","2",""
"10","00774000800001080  Монтажная пластина датчикаIII","","3",""
"11","1040004520","Болт M8×30-8.8","6","JB/T5783"
"12","00774000800001060  Монтажная планка датчика","","1",""
"13","00774000800001100  Скоба вращающегося соединения","","1",""
"14","00774000801200000  Опора бака топлива","","1",""
"15","1040002434","Болт M10×25-8.8","5","JB/T5783"
"16","00774000800001330  Изогнута пластинкаIV","","1",""
"17","1040002437","Болт M12×35-8.8","6","JB/T5783"
"18","00774000800001290  Хомут","","1",""
"19","00774000800001280  Гнутая пластина II","","1",""
"20","00774000800001130  Антифрикционная плита","","1",""
"21","1040200503","Гайка M8-8","8","GB/T889.1"
"22","1040101492","Винт    M10×25-8.8","2","GB/T70.1"
"23","00774000800100000  Кронштейн трубопровода","","1",""
"24","1040004590","Болт M8×14-8.8","4","JB/T5783"
"25","00774000800001230  Монтажная пластина аварийного насоса","","1",""
"26","1040002450","Болт M16×80-8.8","1","JB/T5783"
"27","00774000801600000  Опора бандажа","","1",""
"28","00774000800001040  Опора шкафа электрического управления","","1",""
"29","1040101494","Винт    M12×40-8.8","3","GB/T70.1"
"30","00774000800001150  Вкладыш","","1",""
"31","00774000800001160","Регулировочная прокладкаII","1",""
"32","00774000800001170","Регулировочная прокладка III","1",""
