"№","п/п  Код материалов","Наименование и спецификация","Кол-во  Примечание",""
"37","00771400800001020 Самосмазывающийся подшипник","","2",""
"38","00771400800001030 Штифт","","1",""
"39","00773400300001200 Стопорный штифт","","1",""
"40","00774000800001240 Монтажная пластина датчикаII","","1",""
"41","1040201381","Гайка M12-8","1","JB/T6170"
"42","00771400801800000 Штифт в сборе","","1",""
"43","1040300735","Шайба 6-200HV","1","GB/T96.1"
"44","1040002555","Болт M6×16-A2-70","1","JB/T5783"
"45","1040004507","Болт M10×40-8.8","2","JB/T5783"
"46","00774000800400000 Кронштейн двигателя","","1",""
"47","00773400800001150 Фрикционная накладка","","1",""
"48","00771400800001140 Гнутая пластина","","1",""
"49","1040004644","Болт M12×45-10.9","1","JB/T5783"
"50","1040200504","Гайка M10-8","2","GB/T889.1"
"51","00773400800001220 Регулировочная шайба","","1",""
"52","00773400800001310 Регулировочная шайба II","","1",""
"53","00773400800001210 Вкладыш для поддона","","1",""
"54","1040102741","Винт    M10×40-8.8","2","GB/T70.1"
"55","1040004499","Болт M20×45-8.8","2","JB/T5783"
"56","00773400400001170 Стопорный штифт","","2",""
"57","00774000800001090 Штырь башенной стрелы","","2",""
"58","1040001631","Болт M6×20-A2-70","2","JB/T5783"
"59","00773400800001200 Опора переключателя","","1",""
"60","1040300771","Шайба 6-200HV","6","GB/T97.1"
"61","00773400800001040 Поддон аккумулятора","","1",""
"62","00773400800001130 Тяга аккумулятора","","4",""
"63","1040201896","Гайка M6-8","6","GB/T889.1"
"64","00774000800001220 Нажимная плита аккумулятора","","2",""
"65","00773400800001170 Перегородка для аккумулятора","","1",""
"66","00774000800001140 Регулировочная шайба","","4",""
"67","00774000800001010 Упорная планка I","","1",""
"68","00774000800001020 Упорная планка II","","1",""
"69","00771100800001080 Стопорный штифт","","1",""
"70","1040103205","Винт M12×100-8.8","1","GB/T70.1"
