"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771407101001020  Выхлопной хвост","","1",""
"2","00771407101001030  Усиленная пластина","","1",""
"3","00774007101001040  Выхлопная труба II","","1",""
"4","00771407121001020  Выхлопная труба I","","1",""
"5","00771407121001050  Герметизирующая прокладка I","","2",""
"6","00771407121001010  Шумотушитель","","1",""
"7","00771407121001030  Опора","","1",""
"8","1040004033","Болт M10×25-8.8","8","JB/T5783"
"9","1040302489","Шайба 10-200HV","8","GB/T97.1"
"10","1040200398","Гайка M8-8","12","GB/T889.1"
"11","00771407121001060  Герметизирующая прокладка II","","1",""
"12","1040301515","Шайба 8-200HV","16","GB/T97.1"
"13","1040004519","Болт M8×25-8,8","16","JB/T5783"
"14","1040200503","Гайка M8-8","4","GB/T889.1"
