"","№ п/п  Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","00774006200220000","Электрический шкаф управления поворотной 
платформой 1","1",""
"2","/","Электрический шкаф управления поворотной 
платформой 2","/",""
"3","/","Радиатор реле вспомогательного силового насоса","/",""
"4","1020404399","Лампа предупреждения работы","/",""
"5","/","Клапан опускания башенной стрелы","/",""
"6","","Клапан выдвижения башенной стрелы","1",""
"7","/","Клапан втягивания башенной стрелы","/",""
"8","/","Клапан опускания основной стрелы","/",""
"9","/","Клапан поворота вправо поворотной платформы","/",""
"10","/","Расходный клапан шасси","/",""
"11","/","Расходный клапан платформы","/",""
"12","/","Электромагнитный разгрузочный клапан","/",""
"13","/","Клапан подъема башенной стрелы","/",""
"14","/","Клапан втягивания башенной стрелы","/",""
"15","/","Клапан выдвижения основной стрелы","/",""
"16","/","Клапан подъема основной стрелы","/",""
"17","/","Клапан поворота влево поворотной платформы","/",""
"18","/","","",""
"","","Предохранительный клапан изменения вылета 
башенной стрелы","/",""
"19","/","","",""
"","","Предохранительный клапан выдвижения и 
втягивания башенной стрелы","/",""
"20","/","","",""
"","","Предохранительный клапан изменения вылета 
основной стрелы","/",""
"21","1020304982","Аварийный зуммер","/",""
"22","/","Водомаслоотделитель","1",""
"23","/","Уровень топлива","/",""
"24","1020520559","Концевой выключатель убирания основной стрелы","1",""
"25","","Датчик относительного угла","1",""
"26","1029906298","Левой концевой выключатель втягивания башенной 
стрелы","1",""
