"№ 
п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"27","1029906298","Правой концевой выключатель втягивания 
башенной стрелы","1",""
"28","1021404019","Датчик наклона кузова","1",""
"29","1029906298","Положительный полюс аккумулятора","1",""
"30","00774006200230020","Болт металлизации","1",""
"31","","Проводной пульт дистанционного управления","1",""
"32","","Рабочие лампы","1",""
"33","1029906298","Реле насоса вспомогательной силовой установки","1",""
"34","/","Реле насоса вспомогательной силовой установки","1",""
"35","/","Штепсель скользящего кольца 1","1",""
"36","/","Штепсель скользящего кольца 2","1",""
"37","/","Предохранительный клапан поворота поворотной 
платформы","1",""
"38","/","Концевой выключатель угла поворотной 
платформы","1",""
