"","№ п/п Код материалов Наименование и спецификация Кол-во","","","Примечание"
"1","1020521445","Качающийся переключатель","1","Запуск двигателя и 
вспомогательная силовая установка"
"2","1020520994","Рычаг","1",""
"3","1020521443","Качающийся переключатель","","Выбор режим поворота"
"4","1020810958","Качающийся переключатель","1","Ориентация привода"
"5","1020521445","Качающийся переключатель","1","Выдвижения и втягивание оси 
колеса"
"6","1020521443","Качающийся переключатель","1","Управление скоростью 
хода/крутящим моментом"
"7","/","","",""
"","","Панель 
индикаторов 
сигнализации","1",""
"8","1020519658","Кнопка аварийной остановки","1",""
"","1020509007","Кнопочная станция","1",""
"9","1020521445","Качающийся переключатель","1","Управление выравниванием 
платформы"
"10","1020520993","Рычаг","1",""
"11","1020521445","Качающийся переключатель","1",""
"","","","","Подъем-опускание башенной 
стрелы"
"12","1020521445","Качающийся переключатель","1","Выдвижение-втягивание стрелы"
"13","1029802085","Нейлоновая заглушка","5",""
"","1029804205","Затяжная гайка","5",""
"14","1020521445","Качающийся переключатель","1",""
"","","","","Подъем-опускание консоли"
"15","1020521445","Качающийся переключатель","1","Управление вращением платформы"
"16","1020520084","","",""
"","","Потенциометр","1",""
"17","1020521444","Качающийся переключатель","1","Освещение"
"18","1020520084","Кнопка сирены","1",""
"19","1020103903","Контроллер","1",""
"","1020103955","Узел соединителя","1",""
"20","1022399012","Канал для электропроводки","1",""
"21","/","Упорная планка","1",""
"22","1029904980","Зажим","7",""
