"№ п/п  Код материалов","","Наименование и спецификация","","Количество Примечание"
"33","00774000301400000 Верхняя пылезащитная щетка","","1",""
"34","1040300771","Шайба 6-200HV","12","JB/T97.1"
"","","","",""
"35","00774000301600000 Нижняя пылезащитная щетка","","1",""
"36","00774100301800000 Боковая пылезащитная щетка","","2",""
"37","1040002738","Болт M10×12-A2-70","10","JB/T5783"
"38","1040004591","Болт M4×8-8,8","4","JB/T5783"
"39","1040302410","Шайба 4-200HV","4","JB/T97.1"
"","","","",""
"40","00771100300001070 Капот датчика","","1",""
"41","00774000300801041 Упорная труба I","","1",""
"42","00774000300801050 Прокладочное кольцо","","",""
"","","","2",""
"43","00774000300801030 Держатель катка","","1",""
"44","1040302490","Шайба","5",""
"","","","",""
"45","1040302490","Шайба","2",""
"","","","",""
"46","00773700400001520 Стержень винта I","","1",""
"47","1040200507","Гайка","3",""
"48","00774000300801061 Упорная труба II","","2",""
"49","00774000300801022 Малый каток","","2",""
"50","1040101495","Винт","2",""
"51","00771400211200000 Подвижный трубный хомут","","",""
"","","","2",""
"52","00774000300801012 Большой каток","","1",""
"53","00774100300001010 Опорный блок телескопического цилиндра","","1",""
"54","00771400301201030 Подшипник, не требующий смазывания Ⅱ","","",""
"","","","4",""
"55","00774100300600000 Гидроцилиндр изменения вылета верхней стрелы","","1",""
"56","00774100300001060 Прокладочное кольцо II","","",""
"","","","1",""
"57","00774100300001050 Прокладочное кольцо I","","",""
"","","","1",""
"58","00771402800001130 Самосмазывающийся подшипник","","2",""
"59","1040004508","Болт M10×45-8,8","2","JB/T5783"
"60","1040004499","Болт M20×45-8,8","1","JB/T5783"
"61","00773400400001170 Стопорный штифт","","1",""
"62","00774000300001020","Верхний 
палец 
цилиндра 
изменения 
вылета 
основной стрелы","1",""
"63","00774000300001010 Шкворень I","","1",""
"","","","",""
"64","1040004570","Болт M16×30-8,8","1","JB/T5783"
