"№ п/п","Код материалов","Наименование и спецификация","Количество","Примечание"
"65","00773400400001250","Стопорный штифт","1",""
"66","00773400400001250","Стопорный штифт","1",""
"67","1040004590","Болт M8×14-8,8","18","JB/T5783"
"68","00774100300001030","Штифт телескопического 
цилиндра","2",""
"68","00773400300001200","Стопорный штифт","2",""
"69","00774100300001020","Хвостовая панель заглушки","1",""
"70","1040006017","Винт M6×25-A2-70","2",""
"71","00774000300001140","Регулирующий щиток путевого 
выключателя","1",""
"72","00773700300001210","Панель заглушки основной 
стрелы","2",""
"73","00774100300400001","Стрела выдвижения-втягивания","1",""
"74","00774100301200000","Гидроцилиндр 
выдвижения-втягивания","1",""
"75","00774100300200002","Основная стрела","1",""
"76","00773400400001250","Стопорный штифт","1",""
