"№ п/п","Код материалов","Наименование и спецификация","Кол-во  Примечание",""
"1","1040103119","Винт M8×110-8,8","2","JB/T70.1"
"2","1040301515","Шайба 8-200HV","20","JB/T97.1"
"3","00774100700401120  Прижимная планка трубопровода I","","",""
"","","","1",""
"4","00774100700401090  Трубный хомут II","","1",""
"5","00774100700401080  Трубный хомут I","","1",""
"6","00774100700401160  Прокладка IV","","",""
"","","","1",""
"7","1040200503","Гайка M8-8","2","JB/T889.1"
"8","00774000400001350  Подшипник","","",""
"","","","6",""
"9","1040103110","Винт M8×10-8,8","2","JB/T70.1"
"10","1040302480","Шайба 8-200HV","8","JB/T96.1"
"11","00774100400001101  Монтажная планка","","1",""
"12","00774100400001230  Распорная втулка","","2",""
"13","","00774100401600000  Гидроцилиндр изменения вылета башенной стрелы","1",""
"14","1040004499","Болт M20×45-8,8","1","JB/T5783"
"15","00773400400001170  Стопорный штифт φ20×120*","","4",""
"16","00774100400001040  Штырь III","","1",""
"17","00774100402600000  Ползун","","",""
"","","","8",""
"18","00773400300001130  Регулирующая прокладка Ⅳ","","40",""
"19","1040302489","Шайба 10-200HV","71","JB/T97.1"
"20","1040002434","Болт M10×25-8,8","52","JB/T5783"
"21","1040201896","Гайка M6-8","20","JB/T889.1"
"22","00774100403400000  Пылезащитная    щетка II","","",""
"","","","2",""
"23","1040300771","Шайба 6-200HV","28","JB/T97.1"
"24","1040004601","Болт M6×40-8,8","20","JB/T5782"
"25","00774100400001180  Прокладка","","",""
"","","","20",""
"26","00774100403800000  Пылезащитная    щетка IV","","",""
"","","","2",""
"27","00773400300001140  Регулировочная шайба Ⅴ","","16",""
"28","00774000302600001  Узлы ползуна","","16",""
"29","1040004565","Болт M10×30-8,8-DKL","20","JB/T5783"
"30","00774100400001130  Длинная регулирующая прокладка II","","12",""
"31","00774100400001120  Длинная регулирующая прокладка I","","6",""
"32","00774100402800000  Длинный сухарь","","8",""
"33","00774100400200000  Сварной элемент первой секции башенной стрелы","","1",""
"34","00774100400001240  Монтажная планка путевого выключателя","","1",""
