"№ п/п","Код материалов","Наименование и спецификация","","Кол-во Примечание"
"1","1040102738","Винт 
  M8×55-8.8","6","JB/T70.1"
"2","1040301515","Шайба 8-200HV","24","JB/T97.1"
"3","00774100700401240  Замыкающий блокII","","1",""
"4","00774100700401180  Направляющая прямоугольная труба","","2",""
"5","1040103112","Винт 
  M8×25-8.8","2","JB/T70.1"
"6","1040102717","Винт 
  M8×40-8.8","4","JB/T70.3"
"7","00774100700401200  ПрокладкаV","","",""
"","","","2",""
"8","1040200503","Гайка M8-8","8","JB/T889.1"
"9","00774100700401100  Монтажная планка","","1",""
"10","00774100700401010  Прямоугольная труба","","",""
"","","","1",""
"11","1040004632","Болт M8×100-8.8","2","JB/T5782"
"12","00774100700401160  ПрокладкаIV","","",""
"","","","1",""
"13","00774100700401090  Трубный хомутII","","1",""
"14","00774100700401080  Трубный хомутI","","1",""
"15","00774100700401120  Прижимная планка трубопроводаI","","",""
"","","","1",""
"16","1040103076","Винт M8×16-8.8","4","JB/T70.3"
"17","1040103111","Винт M8×16-8.8","8","JB/T70.1"
"18","00774100700401260  Нейлоновый блок","","1",""
"19","00774100700401052  Механизм буксируемой цепи","","1",""
"19a","1109901007","","",""
"","","Планка буксирной цепи","90",""
"19b","1109901008","Распорка буксирной цепи","94",""
"19c","1109901009","Муфта буксирной цепи 450×108","1",""
"19d","1109901010","Соединитель подвижного конца буксирной 
цепиKAH8600","1",""
"19e","1109901011","Скобка буксирной цепи","94",""
"19f","1109901012","Разделитель буксирной цепи","12",""
"20","1040004517","Болт M8×16-8.8","8","JB/T5783"
"21","00774100700401270  Противоударный блокI","","",""
"","","","2",""
"22","00774100700401280  Упорный блокII","","1",""
"23","1040004523","Болт M8×70-8.8","4","JB/T5783"
"24","00773400700001050  Изогнутая монтажная пластина","","2",""
