"№ п/п","Код материалов","Наименование и спецификация","","Кол-во  Примечание"
"1","1040100421","Винт M8×20-8,8","8","JB/T70.3"
"2","00771602802200000","Внутренний палец цилиндра рулевого 
управления","4",""
"3","00773400300001070","","",""
"","","Подшипник","16",""
"4","00771602800001450","Втулка цилиндра рулевого управления","4",""
"5","00771602801000000","Гидроцилиндр рулевого управления","4",""
"6","00771602800601050","Направляющий блок","8",""
"7","1040102761","Винт","16","JB/T70.1"
"8","00771602800001390","Крышка выносной опоры","4",""
"9","00774002800001270","Скоба штыря","8",""
"10","00771602800001120","Нижний шкворень поворотного управления","4",""
"11","00771602800001130","Нижняя крышка","4",""
"12","1040002434","Болт M10×25-8,8","64","JB/T5783"
"13","1030800680","Шина","2",""
"14","1040201907","Шестигранная фланцевая гайка M22 × 1,5-10","40","JB/T6177.2"
"15","1030202306","Ходовой редуктор","4",""
"16","1040302492","Шайба 16-200HV","72","JB/T97.1"
"17","1040101980","Винт M16×50-10.9-DKL","72","JB/T70.1"
"18","00771602802000001","Сварной элемент поворотной тележки","4",""
"19","00771602800001020","Износостойкая прокладка","8",""
"20","00771602800001470","","",""
"","","Подшипник, не требующий смазывания IV","8",""
"21","00771602800001010","Верхний шкворень поворотного управления","4",""
"22","00771602800001190","","",""
"","","Перегородка","4",""
"23","1040302489","Шайба 10-200HV","146","JB/T97.1"
"24","00773400200001070","Стопорный штифт","4",""
"25","00771602800001180","Монтажная подставка датчика","4",""
"26","00771602800001201","Крышка","4",""
"27","1040100857","Винт M6×15-8,8","20","JB/T70.1"
"28","00772102800600000","Защитный кожух","4",""
"29","1040300771","Шайба 6-200HV","68","JB/T97.1"
"30","1040002555","Болт M10×16-A2-70","12","JB/T5783"
"31","00771602800001080  Штифт цилиндра рулевого управления","","4",""
"32","1040004511","Болт M12×30-8,8","4","JB/T5783"
