"","№ п/п  Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140111291","Тройной композитный штуцер","2",""
"2","1140101489","Композитный тройник M16×1,5","4",""
"3","1140101488","Композитный тройник M16×1,5","1",""
"4","11140101478","","",""
"","","Прямоугольный композитный штуцер M22×1,5","4",""
"5","1140101464","Торцевой проходной соединитель G3/2/M22×1.5","6",""
"6","1140101711","Тройной композитный штуцер","1",""
"7","1140101523","Торцевой проходной соединитель G3/4/M30×2","1",""
"8","1140114187","Манометрический штуцер","1",""
"9","1140114591","","",""
"","","Проходное переходное соединение","1",""
"10","1140107397","Тройник комбинированный φ28","1",""
"11","1140101475","","",""
"","","Прямоугольный композитный штуцер M22×1,5","1",""
"12","1140111237","","",""
"","","Прямой соединитель","1",""
"13","1140103362","Торцевой проходной соединитель G1/M36×2","1",""
"14","1140101992","Заглушка G1/2","1",""
"15","1040301510","Шайба 8-200HV","4","JB/T93"
"","","","",""
"16","1040004518","Болт M8×20-8,8","4","JB/T5783"
"17","1140103359","","",""
"","","Проходное переходное соединение 
M30×2/M16×1.5","1",""
"18","1140102812","","",""
"","","Прямой соединитель","2",""
"19","1010307405","Главный клапан","1",""
"20","1040301515","Шайба 8-200HV","4","JB/T97.1"
"","","","",""
"21","1040201089","Гайка M8-8","2","JB/T6170"
"22","1140101479","","",""
"","","Прямоугольный композитный штуцер M22×1,5","1",""
"23","1140101941","Торцевой проходной соединитель G3/8/M16×1.5","1",""
"24","1140101462","Торцевой проходной соединитель G3/8/M18×1.5","3",""
"25","1140101629","Резьбовая заглушка","2",""
"26","1140101477","","",""
"","","Прямоугольный композитный штуцер M18×1,5","2",""
