"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"3","02552500300400000","Second boom section weldment","B","1",""
"28","1040302490","Washer","B","13","GB/T97.1-2002"
"62","1040200504","Nut","A","14","GB/T889.1-2000"
"64","1040302489","Washer","B","47","GB/T97.1-2002"
"85","02552500301001040","No.2 retracting wire rope","B","2","Alternative for
02552500301001140"
"85","02552500301001140","Zinc coat second retracting wire rope","B","2","Alternative for
02552500301001040"
"103","02552500301001130","Zinc coat second extending wire rope","B","3","Alternative for
02552500301001030"
"103","02552500301001030","No.2 extending wire rope","B","3","Alternative for
02552500301001130"
"147","00771900311001190","Wire rope protective plate","B","2",""
"148","00771900311001221","Connecting plate","A","4",""
"149","00771900311070001","Weldment of guide wheel","B","2",""
"150","1040200161","Nut","A","5","GB/T889-1986"
"151","1040201382","Nut","A","5","GB/T6170-2000"
"152","1040302492","Washer","B","5","GB/T97.1-2002"
"153","1040002436","Bolt","A","5","GB/T5783-2000"
"154","1040004509","Bolt","A","8","GB/T5783-2000"
