"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"1","1040004518","Болт","","А","18","JB/T5783-2000"
"2","1040303580","Шайба","","А","36","GB/T96.1-2002"
"3","1040200503","Гайка","","А","5","GB/T889.1-2000"
"4","1040303581","Шайба","","А","6","GB/T96.1-2002"
"5","1040004499","Болт","","А","1","JB/T5783-2000"
"6","1040004619","Болт","","А","4","JB/T5783-2000"
"7","1040004520","Болт","","А","6","JB/T5783-2000"
"8","1040004033","Болт","","А","4","JB/T5783-2000"
"9","1040301031","Шайба","","B","20","GB/T96.1-2002"
"10","1040004029","Болт","","А","12","JB/T5783-2000"
"11","02562700802000000","Сварная деталь для установки 
застежки правого капота","","А","1",""
"12","02562700800001140","Опора переключающего клапана 
II","","А","1",""
"13","1040004032","Болт","","А","9","JB/T5783-2000"
"14","1040302489","Шайба","","B","36","GB/T97.1-2002"
"15","1040300771","Шайба","","А","26","GB/T97.1-2002"
"16","1040001640","Болт","","А","10","JB/T5783-2000"
"17","1040202854","Гайка","","А","16","GB/T889.1-2000"
"18","02562700800001120","Опора переключающего клапана 
I","","А","4",""
"19","0255170ECN1196159","Хомут провода","","А","2",""
"20","1040006017","Винт","","B","4","GB/T70.1-2000"
"21","1040201865","Гайка","","А","4","JB/T6170-2000"
"22","1040301610","Шайба","","А","4","JB/T93-1987"
"23","1040300771","Шайба","","А","4","GB/T97.1-2002"
"24","02562700800001100","Опора связки шкафа 
электрического управления","","А","1",""
"25","1040302490","Шайба","","B","8","GB/T97.1-2002"
"26","1040004653","Болт","","А","7","JB/T5783-2016"
"27","1040004519","Болт","","А","5","JB/T5783-2000"
"28","02562700801000001","Сварная деталь опоры шкафа 
электрического управления","","А","1",""
"29","00774000802200000","Защитный кожух","","А","1",""
"30","02562700801800000","Сварная деталь монтажного 
кронштейна электромагнитного 
клапана","","А","1",""
"31","1040202855","Гайка","","А","4","GB/T889.1-2000"
"32","02562700800041240","Резиновая прокладка ящика 
электрического управления","","А","2",""
"33","02562700801400000","Монтажный кронштейн 
основного клапана","","А","1",""
"34","02562700800001160","Стопорный штифт","","А","2",""
