"№ 
п/п","Код материалов","Наименование и 
спецификация","","","Версия","Кол-
во","Примечание"
"1","1030801384","Шина","","","А","2","2815040B02"
"2","1040201907","Шестигранная фланцевая гайка","","","А","40","GB/T6177.2-2016"
"3","1030202306","Ходовой редуктор","","","А","4","CW703"
"4","1040101980","Винт","","","А","72","GB/T70.1-2000"
"5","02562702801800000","Сварной элемент поворотной 
цапфы","","","А","2",""
"6","02562302800001060","Шкворень II","","","А","4",""
"7","00771602800001470","Подшипник, не требующий 
смазывания IV","","","А","8",""
"8","00771402810001010","Прокладка","","","А","8",""
"9","00771202800001290","Крышка","","","B","4",""
"10","1040302489","Шайба","","","B","64","GB/T97.1-2002"
"11","1040002434","Болт","","","А","48","JB/T5783-2016"
"12","00772702800001160","Уплотнительная пластина II","","","А","4",""
"13","1040005831","Болт","","","А","24","JB/T5789-1986"
"14","00772702800001260","Регулировочная шайба","","","А","6",""
"15","02562302800001250","Нейлоновый блок","","","А","2",""
"16","1040103120","Винт","","","А","4","GB/T70.1-2000"
"17","00773400300001070","Подшипник","","","А","8",""
"18","02562302800001450","Втулка цилиндра рулевого 
управления","","","А","4",""
"19","02562302800001170","Штифт IV","","","А","4",""
"20","00773400400001250","Стопорный штифт","","","E","12",""
"21","1040006459","Болт","","","А","8","JB/T5782-2000"
"22","02562702801000000","Гидроцилиндр рулевого 
управления","","","А","4",""
"23","00771602800001330","Подшипник, не требующий 
смазывания I","","","А","4",""
"24","00771602800001080","Штифт цилиндра рулевого 
управления","","","C","4",""
"25","02562702800200001","Выносная опора I","","","А","2",""
"26","02562702800001070","Монтажная планка","","","А","4",""
"27","1040002555","Болт","","","А","20","JB/T5783-2000"
"28","00772102800600000","Защитный кожух","","","B","4",""
"29","1040100857","Винт","","","А","20","GB/T70.1-2008"
"30","00771602800001200","Крышка","","","А","4",""
"31","00771602800001180","Монтажная подставка датчика","","","B","4",""
"32","00771602800001190","Перегородка","","","А","4",""
"33","02562302800001050","Шкворень II","","","А","4",""
"34","00771602800001160","Упорная планка на конце вала","","","А","4",""
