"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040100055","Screw M6×20-8.8","4","GB/T70.1-2000"
"2","1040300051","Washer 6","12","GB/T97.1-2002"
"3","1040300062","Washer 6","12","GB/T93-1987"
"4","1020104278","Platform control assembly","1",""
"5","00775606300411010","Platform control box","1",""
"6","1040100618","Screw M4×35","6","GB/T818-2000"
"7","1040201605","Locknut M4-8","6","GB/T889.1-2000"
"8","1020521041","Limit switch","3",""
"9","00775206310201030","Limit bracket","1",""
"10","1040100127","Screw M6×12-8.8","8","GB/T70.1-2000"
"11","00775206310201010","Limit guard","1",""
"12","1040102341","Screw M5×12-8.8","6","GB/T70.1-2000"
"13","1040300048","Washer 5","6","GB/T97.1-2002"
"14","1040300060","Washer 5","6","GB/T93-1987"
"15","1020521469","Inclination switch","1",""
"16","00775200001001060","Limit block 
(Indoor Series)","2",""
"","00775200351001060","Limit block 
(Outdoor Series)","2","2022.10 Revise"
"17","1021404034","Angle sensor","1",""
"18","1040100618","Screw M4×16-8.8","6","GB/T818-2000"
"19","1040300044","Washer 4","6","GB/T93-1987"
"20","1040301697","Washer 4","6","GB/T97.1-2002"
"21","1029906635","LED Strobe light","2",""
"22","1029906206","Shield","3",""
"23","00775206310201020","Lamp holder","3",""
"24","1040200867","Nut M5","6","GB/T889.1-2000"
"25","1040100055","Screw M5×20-8.8","6","GB/T70.1-2000"
