"No.","Material No.","Item and Spec","Units","Remark"
"0","","Valve block","1","ST5144-A000M"
"1","1010306554","Check valve","1","STCV08-0-000A"
"2","1010306784","Solenoid valve","1","STS0-S08-01"
"3","1019902188","Damping","1","STTY002-1.3"
"4","","Solenoid valve","1","ASTRV08-B-120A"
"5","1019803186","Plug","1","4BN-02W/D"
"6","1011200142","Plug","5","4BN-04W/D"
"7","1019808293","Coil","1","4BN-04W/D"
"8","1081004551","O ring","1","10.77×2.62 NBR 90SH"
"9","","Filter screen","1","GLW08-2-8.3*13.7"
"10","","G18 filter","1","EA0440000000001"
"11","1010306629","Upper lifting cylinder 
control valve 
(ZS1012DC)","1","ST5044-AE0C"
"","1010306626","Upper lifting cylinder 
control valve 
  (ZS1012DC-Li)","1","ST5044-AC0C"
"","1010306627","Upper lifting cylinder 
control valve 
  (ZS1212DC)","1","ST5044-AE0A.A"
"","1010306625","Upper lifting cylinder 
control valve 
  (ZS1212DC-Li)","1","ST5044-AC0A"
"","1010306749","Upper lifting cylinder 
control valve 
  (ZS1414DC)","1","ST5144-AE00"
"","1010306750","Upper lifting cylinder 
control valve 
  (ZS1414DC-Li)","1","ST5144-AC00"
"12","1140114040","Hydraulic pipe joint","1","GE10LR3/8EDOMD"
"13","1140102034","Screw","4","M8×60-10.9"
"14","1040300063","Gasket","4","GB/T93-1987"
