"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775700000001040","Lower sliding block I","1",""
"2","00775600300001140","Gasket","2",""
"3","1054400310","Composite bush","2",""
"4","1040200504","Nut M10-8","2","GB/T889.1-2000"
"5","1040000025","Bolt M10×80-8.8","2","GB/T5783-2000"
"6","00775700000001020","Lower sliding axle","1",""
"7","00775700000001050","Lower sliding block II","1",""
"8","00775600000001070","Upper stationary axle","4",""
"9","00775700000001060","Upper sliding block","2",""
"10","1040300526","Washer 12","8","GB/T97.1-2002"
"11","1040000807","Bolt M12×120-8.8","4","GB/T5782-2000"
"12","1040200507","Nut M12-8","4","GB/T889.1-2000"
"13","1054400309","Composite bush","4",""
"14","1040000288","Bolt M8×25-8.8","1","GB/T5783-2000"
"15","1040300063","Washer 8","1","GB/T93-1987"
"16","1040300066","Washer 8","1","GB/T97.1-2002"
"17","00775600000001050","Articulated pin","1",""
"18","00775700000001030","Lower stationary axle","1",""
"19","00775700000001070","Upper sliding block","2",""
"20","00775700100000000","Work platform","1",""
"21","00775700300000000","Scissor arm","1",""
"22","00775702800000000","Chassis(ZS1414HD-Li)","1",""
"","00775702810000000","Chassis(ZS1414HD)","1",""
"","00775702820000000","Chassis(ZS1414DC-Li)(Indoor Series)","1",""
"","00775702830000000","Chassis(ZS1414DC) (Indoor Series)","1",""
"","00775702860000000","Chassis(ZS1414HA-Li)","1",""
"","00775702870000000","Chassis(ZS1414HA)","1",""
"","00775702850000000","Chassis(ZS1414AC-Li) (Indoor Series)","1",""
"","00775702880000000","Chassis(ZS1414AC) (Indoor Series)","1",""
"","007757028E0000000","Chassis(ZS1414DC-Li) (Outdoor Series)","1","2022.10 Revise"
"","007757028D0000000","Chassis(ZS1414DC) (Outdoor Series)","1","2022.10 Revise"
"","007757028G0000000","Chassis(ZS1414AC-Li) (Outdoor Series)","1","2022.10 Revise"
"","007757028F0000000","Chassis(ZS1414AC) (Outdoor Series)","1","2022.10 Revise"
