"No.","Material No.","Item and Spec","Units","Remark"
"1","","Motor","1",""
"2","","Valve block","1",""
"3","","Two-position four-way valve solenoid valve","1",""
"4","","Check valve","1",""
"5","","Coupling","1",""
"6","","Stainless steel hose clamp","1",""
"7","","O ring","1","109×5.3"
"8","","Plastic tank triangle gasket","4",""
"9","","Hexagon flange bolts","4","M6×12"
"10","","Screw","2","GB/T70.1/M8×80"
"11","","Gear pump","1",""
"12","","Large oil suction pipe","1",""
"13","","Large filter screen","1",""
"14","","Oil tank","1",""
"15","","Three-position four-way Solenoid valve","1",""
"16","","Direct relief valve","1",""
"17","","Transition valve block","1",""
"18","","O plug","11","M8*1"
"19","","Screw","3","M8×60"
"20","","ED plug","1","G3/8"
"21","","Direct relief valve","1",""
"22","","O ring","1","8.5×1.8"
"23","","Oil suction pipe","1","NPT3/8×97"
"24","","Pneumatic quick insertion square bend","1",""
"25","","Oil tank breathing cover","1",""
"26","","Breathing hole transition joint","1",""
"27","1010002079","Power unit","1","DC-F55-1.6/E-
1.2/24/24-4PH-C"
"28","1140114039","Hydraulic pipe joint","1","GE10LREDOMD"
"29","1140114041","Hydraulic pipe joint","2","GE08LREDOMD"
"30","1140114187","Pressure testing joint","1","SD-M16×2-F-
G1/4"""
"31","1010100097","Screw","2","M10×30-8.8"
"32","1040300067","Gasket","2","GB/T93-1987"
"33","1040300061","Gasket","2","10-200HV"
