"NO.","Material  No.","Item  and  Spec","Units","Remark"
"1","1030800655","Tire","2",""
"2","1040500535","Split  pin 4×80","2","GB/T91-2000"
"3","1040000225","Bolt  M12×90-8.8","8","GB/T5783-2000"
"4","1040300526","Washer 12","14","GB/T97.1-2002"
"5","1040200507","Nut M12-8","14","GB/T889.1-2000"
"6","1019901335","Brake","2",""
"7","1021904229","Vehicle-mounted  battery charger","1",""
"8","00775306320410000","Battery  charger Tray","1",""
"9","00775302801200000","Ladder","1",""
"10","1040000101","Bolt  M12×40-8.8","4","GB/T5783-2000"
"11","00775602801601010","Coil  III","1",""
"12","00775602800001180","Coil  II","2",""
"13","00775602801601040","Protecting bush II","1",""
