"NO.","Material No.","Item and Spec","Units","Remark"
"1","1040102356","Screw M8×25-8.8","8","GB/T70.3-2000"
"2","00775602800601010","Limited post","1",""
"3","00775602800601030","Cushion rubber","1",""
"4","1040100519","Screw M12×80-8.8","1","GB/T70.1-2000"
"5","1040300054","Washer 12","1","GB/T93-1987"
"6","00775606300201030","Key switch gasket","1",""
"7","1040100106","Screw M4×10-4.8","2","GB/T818-2000"
"8","1040300044","Washer 4","4","GB/T93-1987"
"9","1040301697","Washer 4-160HV","4","GB/T97.1-2002"
"10","00775602801601040","Protecting bush II","1",""
"11","00775602800601040","Waterproof coverplate 
(ZS1414/12121012HD)","1",""
"12","00775702800420000","Hydraulic Tray box 
(ZS1414HD/ZS1414DC)","1",""
"","00775702870210000","Hydraulic Tray box   
(ZS1414HA)","1",""
"","00775602860210000","Hydraulic Tray box 
(ZS1212/1012/0812HA)","1",""
"","00775602800620000","Hydraulic Tray box 
(ZS1212/1012/0812DC 
ZS1212/1012HD)","1",""
"13","1020005103","DC motor 24V，4.5KW 
(ZS1414/1212/1012/0812DC 
ZS1414/1212/1012HD)","1",""
"","1020005472","Hydraulic pump drive motor 
24V,3.3KW 
(ZS1414/1212/1012 
0812HA)","1",""
"14","00775602800601020","Motor support","1",""
"15","1040200867","Nut M5","4","GB/T889.1-2000"
"16","1040300048","Washer 5-200HV","6","GB/T97.1-2002"
